No.,,Items,Factors,Why pick this factor,resourse
前導語,接下來有12個問題，請根據在這個虛擬環境中的經驗與感受來評估。請留意，每一個選項都有特別的意涵。,,,,
1,"在這個虛擬環境的體驗裡，我有一種自己「正在跑道上跑步並排除障礙物」的感覺。
1分代表「絲毫沒有」
4分代表「還好」
7分代表「非常明顯」",1-7,,"翻譯之後更改一些在中文使用情境下難以理解的語句。

我把原題目中每個題目前的前導語用likert 的選項描述出來。我覺得跟原本的題目語意有些許的不同，但是做了這些更動之後讀起來較通順，選項也幫忙說明了題目的意涵。",SUS
2,"在這個虛擬環境的體驗裡，我認為在跑道上跑步並排除障礙物的經驗對我而言就是現實⋯⋯

1分代表「非常不同意」
4分代表「普通」
7分代表「非常同意」",1-7,,"如果題目中提及的是感覺，我會使用「絲毫沒有到非常強烈」
如果題目中提及的是認為，我會使用「非常不同意到非常同意」",SUS
3,"回想在虛擬環境裡的經驗，這個跑道和障礙物我來說⋯⋯

1分代表「非常像一張平面的圖片」
4分代表「中立」
7分代表「非常像一個立體的場域」",1-7,,第三、四題比較特殊，原題目中的兩端是曾看過的場景或曾造訪過的地方，我用「就是、非常像、有一點像、中立」這些詞來描述兩端的傾向。,SUS
4,"在這個虛擬環境的體驗裡，我感覺自己⋯⋯

1分代表「非常不像在跑道上跑步和排除障礙物」
4分代表「中立」
7分代表「非常像在跑道上跑步和排除障礙物」",1-7,"https://www.researchgate.net/publication/2457864_Using_Presence_Questionnaires_in_Reality#:~:text=To%20measure%20the%20sense%20of%20presence%20we%20used,the%20VR%20environment%20is%20remembered%20as%20a%20%27place%27.

這裡使用SUS的VR場景是辦公室，這一題他們就改成辦公室",,SUS
5,"根據我在這個虛擬環境裡面的記憶，我認為這個跑道跟我最近一個月到過的某些其他地方在結構上很相近。（結構是指環境的顏色，物件的多寡或遠近，環境是開闊或狹窄，道路的質地等等）

1分代表「非常不同意」
4分代表「普通」
7分代表「非常同意」",1-7,"1.4 (i) the sense of being in the VR environment,
2.5. (ii) the extent to which the VR environment becomes the dominant reality, 
3.6. (iii) the extent to which the VR environment is remembered as a 'place'. ",,SUS
6,"在這個虛擬環境的體驗裡，我認為我是實際 處在這個跑道上。

1分代表「非常不同意」
4分代表「普通」
7分代表「非常同意」",1-7,,,SUS
,,,,,
,,,,,
Modified GEQ,Modified GEQ,,"GEQ有四個部分（四個version），其中core and in-game的component一樣，所以我們就主要參考in-game的items，因為比較少，我們也更關注遊戲內的體驗。我們的遊戲是單人遊戲，所以刪除social presence的部分，在這個遊戲裡面沒有其他玩家或角色。

根據我們研究的需求，這份問卷需要簡潔，更細緻的且更接近我們研究想探究的經驗，我們會從質性訪談更深入的去探討。所以，我們合併了一些item以更符合我們的需求。

這份modified GEQ的目標是「遊戲畫面的編排、資訊等如何影響遊戲的體驗」，所以我們借用GEQ的component，生6個items，這些component最接近視覺經驗對於專注的影響，並請受測者填答7-level likert skills 。In-game GEQ（7. 8. 9.）我們只問關於遊戲畫面與資訊的相關評估，Post-game GEQ(10. 11. 12) 我們就不只專注於遊戲畫面，因為結束時已經沒有遊戲畫面與資訊，但是可能會有經驗或情緒上的轉變，背後有理由可以探究。",,
7,"在進行任務的過程中，我認為遊戲畫面和資訊使我對於解任務的掌握度很高。

1分代表「非常不同意」
4分代表「普通」
7分代表「非常同意」",跟16問的一樣,Competence(In-game GEQ),我們要探討遊戲畫面與資訊是否能幫助集中注意力，而越任務的掌握度越高，就代表越能集中注意力。,
8,"進行任務的過程中，遊戲畫面讓我感受到⋯⋯

1分代表「非常負面的情緒」
4分代表「普通」
7分代表「非常正面的情緒」

（負面情緒的例子：挫敗、罪惡、後悔；正面情緒的例子：勝利、滿意、慶幸）",跟18問的事情一樣,Positive/Negative effects(In-game GEQ),遊戲畫面與資訊的介入若是有影響，很可能會給玩家帶來情緒的波動。,
9,"進行任務的過程中，遊戲畫面讓任務⋯⋯

1分代表「非常輕鬆」
4分代表「普通」
7分代表「非常具有挑戰性」",跟17問的事情一樣,Challenge (In-game GEQ),遊戲畫面與資訊的介入若是有影響，很可能會影響進行任務的挑戰性。,
10,"結束任務時，我的情緒是⋯⋯

1分代表「非常負面」
4分代表「普通」
7分代表「非常正面」

（負面情緒的例子：挫敗、罪惡、後悔；正面情緒的例子：勝利、滿意、慶幸）",跟17、18類似,Positive/Negative experience(Post-game GEQ),若遊戲結束後情緒有波動，利於後續質性訪談探究情緒的轉換，因為前面8.探究「因為遊戲畫面」帶來的情緒。有轉換則可以追問為什麼，沒有轉換可以探究是否是遊戲畫面跟資訊是順暢或不順暢,
11,"結束任務時，我感到疲累或厭倦。

1分代表「絲毫沒有」
4分代表「還好」
7分代表「非常明顯」",跟13.14.15類似,Tiredness (Post-game GEQ),若遊戲結束後感到疲累，後續訪談可以探究是否是遊戲畫面與資訊的影響。,
12,"結束任務時，我有一種回到現實的感覺。

1分代表「絲毫沒有」
4分代表「還好」
7分代表「非常明顯」",跟1.2.4.6類似,Return to reality (Post-game GEQ),若遊戲結束後感到虛擬環境與現實有很明顯的區隔，後續訪談可以探究遊戲畫面與資訊還有這樣區隔有關的經驗，有沒有可能是遊戲畫面或資訊影響了沈浸感。,
,,,,,
7,"How mentally demanding was the task?
你需要花費多少腦力（包括思考、決策、計算、尋找、記憶、做決定）才能在任務過程中保持專注？

1分代表非常少量
4分代表普通
7分代表非常大量","1 Very Low, 7 Very High",NASA TLX,,
8,"How physically demanding was the task?
你需要消耗多少體力（包括使用眼睛、呼吸等等身體肌肉的控制與使用）才能在任務過程中保持專注？

1分代表非常少量
4分代表普通
7分代表非常大量","1 Very Low, 7 Very High",NASA TLX,,
9,"How hurried or rushed was the pace of the task?
你覺得進行任務的過程是從容的還是倉促的？

1分代表相當從容
4分代表普通
7分代表非常倉促","1 Very Low, 7 Very High",NASA TLX,,
10,"How successful were you in accomplishing what you were asked to do?
在保持專注這件事情上，你做得完美還是失敗？

1分代表非常完美
4分代表普通
7分代表徹底失敗","1 Perfect, 7 Failure",NASA TLX,,
